PID,Retalhista,Nome,Marca,Quantidade,Formato
2211953,Continente,Tarte Gelada Baunilha Viennetta,Viennetta,emb. 650 ml,Cakes
2844079,Continente,Tarte Gelada de Chocolate Viennetta,Viennetta,emb. 650 ml,Cakes
4020304,Continente,Gelado Chocolate de Menta Les Authentiques Carte DOr,Carte DOr,emb. 1 lt,Tubs
4704539,Continente,Gelado Perna de Pau Olá,Olá,emb. 420 ml (6 un),Sticks
4712309,Continente,Gelado Super Maxi Olá,Olá,emb. 390 ml (6 un),Sticks
4886486,Continente,Gelado Super Mix Calippo,Calippo,emb. 525 ml (5 un),Pots
5045043,Continente,Gelado Fizz Limão Olá,Olá,emb. 330 ml (6 un),Sticks
5323151,Continente,Gelado Nata sem Lactose Nutrégi,Nutrégi,emb. 500 ml,Pints
5553145,Continente,Gelado Morango Calippo,Calippo,emb. 525 ml (5 un),Pots
5562119,Continente,Tarte Gelada Morango Continente,Continente,emb. 1 lt,Cakes
5564190,Continente,Gelado Cone Morango 6 unidades Cornetto,Cornetto,emb. 540 ml (6 un),Cones
5608351,Continente,Tarte Gelada Baunilha e Chocolate Continente,Continente,emb. 1 lt,Cakes
5965614,Continente,Açaí Orgânico com Guaraná Native Açaí,Native Açaí,emb. 160 ml,Pints
6089406,Continente,Gelado Baunilha e Amêndoa Magnum,Magnum,emb. 440 ml,Pints
6393009,Continente,Açaí Orgânico com Stevia Native Açaí,Native Açaí,emb. 160 ml,Pints
6470103,Continente,Gelado Mini Cone Clássico Cornetto,Cornetto,emb. 480 ml (6 un + 2 un GRÁTIS),Cones
6494390,Continente,Gelado Mini Chocolate Negro Magnum,Magnum,emb. 330 ml (6 un),Sticks
6582990,Continente,Soja Sandwich Vegan,Valsoia,emb. 320 gr,Sandwich
6588803,Continente,Gelado Manteiga de Amendoim Crunch Häagen-Dazs,Häagen-Dazs,emb. 460 ml,Pints
6592516,Continente,Sorbet Limão sem Lactose Continente,Continente,emb. 1 lt,Tubs
6592674,Continente,Gelado Mini Sandwich Continente,Continente,emb. 510 ml (6 un),Sandwich
6703121,Continente,Açaí Orgânico com Banana Native Açaí,Native Açaí,emb. 160 ml,Pints
6787595,Continente,Gelado Doce de Leite Häagen-Dazs,Häagen-Dazs,emb. 460 ml,Pints
6787602,Continente,Gelado Pralines & Cream Häagen-Dazs,Häagen-Dazs,emb. 460 ml,Pints
6787631,Continente,Gelado Manga e Framboesa Häagen-Dazs,Häagen-Dazs,emb. 460 ml,Pints
6787649,Continente,Gelado Cookies & Cream Häagen-Dazs,Häagen-Dazs,emb. 460 ml,Pints
6787662,Continente,Gelado Cheesecake Morango Häagen-Dazs,Häagen-Dazs,emb. 460 ml,Pints
6787709,Continente,Gelado Macadâmia Nut Brittle Häagen-Dazs,Häagen-Dazs,emb. 460 ml,Pints
6787710,Continente,Gelado Baunilha Häagen-Dazs,Häagen-Dazs,emb. 460 ml,Pints
6787743,Continente,Gelado Strawberries & Cream Häagen-Dazs,Häagen-Dazs,emb. 460 ml,Pints
6787746,Continente,Gelado Belgian Chocolate Häagen-Dazs,Häagen-Dazs,emb. 460 ml,Pints
6787748,Continente,Gelado Caramelo Salgado Häagen-Dazs,Häagen-Dazs,emb. 460 ml,Pints
6787749,Continente,Gelado Speculoos Caramel Biscuit & Cream Häagen-Dazs,Häagen-Dazs,emb. 460 ml,Pints
6787772,Continente,Gelado Caramelo Collection Minicups Häagen-Dazs,Häagen-Dazs,emb. 380 ml (4 un),Pints
6787775,Continente,Gelado Fruit Collection Minicups Häagen-Dazs,Häagen-Dazs,emb. 380 ml (4 un),Pints
6845206,Continente,Gelado Chocolate Branco e Cookies Magnum,Magnum,emb. 440 ml,Pints
