PID,Retalhista,Nome,Marca,Marca_Padronizada,Quantidade,Formato
7800880,Continente,,,Sem Marca,,
3903334,Auchan,Polegar Baunilha 1l,,Sem Marca,,Tubs
2111244,Auchan,Gelado Globo Multipack Yummy 6un,,Globo,,Sticks
7760701,Continente,,,Sem Marca,,
7105465,Continente,Caramelo Chew Chew,,Ben & Jerry's,,Pints
7757069,Continente,Avelã Torrada Vegan sem Glúten,,Sem Marca,,
7184412,Continente,Manga 100% Fruta,,Continente,,Other
7760704,Continente,,,Sem Marca,,
7760705,Continente,IceFest Mix,,Continente,,Sticks
2979088,Auchan,Gelado Magnum Pint White Chocolate E Cookies 440ml,,Magnum,,Pints
3890351,Auchan,Palito Polegar Baunilha E Chocolate 12x55ml,,Auchan,,Sticks
3610066,Auchan,Häagen-Dazs Macaron Chocolate 420ml,,Häagen-Dazs,,Bites
7164297,Continente,Classicone Caramelo Salgado,,Continente,,Cones
7947226,Continente,Cookies & Cream Les Desserts,,Sem Marca,,
7760703,Continente,Classicone Marshmallow,,Continente,,Cones
8391747,Continente,Chocolate Negro e Laranja,,Sem Marca,,
7584154,Continente,Morango 100% Fruta,,Continente,,
7418321,Continente,Chocolate e Avelã,,Continente,,Sticks
3891983,Auchan,Häagen-Dazs Churros Madrid 420ml,,Häagen-Dazs,,Pints
3610074,Auchan,Häagen-Dazs Macaron Strawberry 420ml,,Häagen-Dazs,,Bites
8007462,Continente,Filipinos,,Olá,,Sandwich
7753798,Continente,Macaron Double Chocolate,,Sem Marca,,Bites
7753799,Continente,Macaron Morango e Framboesa,,Sem Marca,,Bites
3884841,Auchan,Magnum Gold Caramel Bilionaire 4x64ml,,Magnum,,Bars
3884819,Auchan,Ben & Jerry's Brokie Cream 465ml,,Ben & Jerry's,,Pints
3632009,Auchan,Magnum Mini Caramelo Amendoa 6x55ml,,Magnum,,Sticks
3459482,Auchan,Magnum Mini Cookie Mix 6x55 Ml,,Magnum,,Sticks
3732034,Auchan,Ben & Jerry's Marshmallow & Smore 427ml,,Ben & Jerry's,,Pints
3962757,Auchan,,,Sem Marca,,
3754517,Auchan,Carte D'or Filipinos 825ml,,Carte D'Or,,Tubs
3725697,Auchan,Carte D'or Cookies & Cream 825ml,,Carte D'Or,,Tubs
3446998,Auchan,Magnum Pistachio 3x100ml,,Magnum,,Sticks
3609113,Auchan,Multipack Cornetto Filipinos 4x90ml,,Cornetto,,Cones
3884747,Auchan,Olá Filipinos Stick 4x62ml,,Olá,,Sticks
3732027,Auchan,Magnum Wonder 3x90ml,,Magnum,,Sticks
8393466,Continente,Raffaello Pêssego e Hibisco,,Raffaello,,
7756439,Continente,Iogurte e Framboesa,,Sem Marca,,
7975651,Continente,Bomboniera,,Magnum,,Bites
7975659,Continente,Disney Rei Leão,,Olá,,Sandwich
3818310,Auchan,happy mrs jersey macadamia caramel bio 500ml,,Happy Mrs Jersey,,Pints
7409924,Continente,Magnífico Chocolate Branco com Amêndoa,,Continente,,Sticks
3609115,Auchan,Sandwich Sabor Nata 6x100ml,,Sem Marca,,Sandwich
8416535,Continente,Pêssego Melba,,Sem Marca,,
8391753,Continente,Doce de Leite e Canela,,Sem Marca,,
7975654,Continente,Pistácio,,Sem Marca,,
7754866,Continente, Mini Double Caramelo e Gold Caramelo Billionaire,,Magnum,,Sticks
3884133,Auchan,Auchan Collection Ovos Moles De Aveiro Igp 450ml,,Auchan,,
7800885,Continente,,,Sem Marca,,
8416533,Continente,Morango e Merengue,,Sem Marca,,
8416867,Continente,Chocolate e Cookies,,Sem Marca,,
8090997,Continente,,,Sem Marca,,
3883126,Auchan,Auchan Collection Maracujá C/Polpa Da Fruta 450ml,,Auchan,,
3361477,Auchan,,,Sem Marca,,
988987,PingoDoce,Mini Sandwich Avelã,,Sem Marca,,Sandwich
910854,PingoDoce,,,Sem Marca,,
928314,PingoDoce,,,Sem Marca,,
7418308,Continente,Raffaello,,Raffaello,,Sticks
3492891,Auchan,Ferrero Rocher Classico 4x50g,,Ferrero Rocher,,Sticks
976503,PingoDoce,Chocolate Belga,,Sem Marca,,Pints
8020339,Continente,Gelado Proteína Cappuccino Continente,Continente,Continente,emb. 500 ml,Pints
1005115,PingoDoce,Mini Bolas de Gelado de Frutos Vermelhos,Sorbites,Sorbites,"0.072 Kg | 41,53 €/Kg",Bites
1005114,PingoDoce,Mini Bolas de Gelado de Manga,Sorbites,Sorbites,"0.072 Kg | 41,53 €/Kg",Bites
4014167,Auchan,GELADO HÄAGEN-DAZS STRAWBERRY MOCHI 420ML,HÄAGEN-DAZS,Häagen-Dazs,420ML,Pints
963351,PingoDoce,Gelado Azul,Pingo Doce,Pingo Doce,"0.95 L | 2,05 €/L",Tubs
975473,PingoDoce,Gelado Mini Majestic Duplo Caramelo,Pingo Doce,Pingo Doce,"0.33 L | 11,18 €/L",Sticks
8067138,Continente,Gelado Mini Double Chocolate Belga Pink Albatross,Pink Albatross,Pink Albatross,emb. 260 ml (4 un),Sticks
7725520,Continente,Gelado Ovos Moles Continente Seleção,Continente Seleção,Continente,emb. 450 ml,Pints
3855610,Auchan,Prozis Sorbet Açaí Protein 500ml,PROZIS,Prozis,500ML,Pints
3855602,Auchan,Prozis Prot Yogurt 500ml,PROZIS,Prozis,500ML,Pints
1002633,PingoDoce,Gelado La Pistache,Magnum,Magnum,"0.27 L | 12,19 €/L",Sticks
4013230,Auchan,CUBOS GELO EM COPO 528 130G,528,528,130G,Other
8751076,Continente,Gelado Pêssego com Chocolate Magnum,Magnum,Magnum,emb. 270 ml (3 un),Sticks
3586321,Auchan,GELADO OREO BOMBOM 3X90ML,OREO,Oreo,90ML,Bites
3921845,Auchan,SANDWICH LA MENORQUINA POP CORN CARAMELO 3UN,LA MENORQUINA,La Menorquina,Quantidade não disponível,Sandwich
3901180,Auchan,GELADO RAFFAELLO PEACH DREAM TRIPLE EXPERIENCE (60X3),RAFFAELLO,Raffaello,Quantidade não disponível,Sticks
961131,PingoDoce,Gelado Mochi Morango,Pingo Doce,Pingo Doce,"0.14 Kg | 21,36 €/Kg",Bites
7893272,Continente,Gelado Mochi Pistáchio Torrado com Mel sem Glúten Little Moons,Little Moons,Little Moons,emb. 6 un,Bites
999836,PingoDoce,Massa de Pastel de Feira,Duforno,Duforno,"0.75 Grm | 11,99 €/Grm",
6846661,Continente,Gelado Mini Chocolate Branco e Cookies Magnum,Magnum,Magnum,emb. 330 ml (6 un),Sticks
3756924,Auchan,GELADO FERRERO ROCHER TRIPLE CARAMELO 3X60G,FERRERO ROCHER,Ferrero Rocher,60G,Sticks
3932983,Auchan,GELADO SANDWICH MAXIBON RED CHEESECAKE 4X87G,MAXIBON,Maxibon,87G,Sandwich
3921841,Auchan,GELADO LA MENORQUINA BLUE COLA SUPER MAN 3 UN,LA MENORQUINA,La Menorquina,Quantidade não disponível,Pots
3921844,Auchan,CONE LA MENORQUINA NATA COM PEDAÇOS DE BOLACHA 4 UN,LA MENORQUINA,La Menorquina,Quantidade não disponível,Cones
8416878,Continente,Gelado Mini Twister Ananás Olá,Olá,Olá,emb. 300 ml (6 un),Sticks
955908,PingoDoce,Gelado Ben & Jerry's Half Baked,Ben & Jerry's,Ben & Jerry's,"0.465 L | 10,73 €/L",
988000,PingoDoce,Gelado Double Hazelnut,Magnum,Magnum,"0.255 L | 15,65 €/L",Sticks
866226,PingoDoce,Gelado Cornetto Mini Clássico,Cornetto,Cornetto,"0.48 L | 8,31 €/L",
622767,PingoDoce,Tarte Gelada Capuccino,Pingo Doce,Pingo Doce,"1 L | 2,49 €/L",Cakes
